short_name,long_name,sofifa_id,age,dob,nationality,height_cm,body_type,weight_kg,club,player_url,overall_potential,value_eur,wage_eur,work_rate,team_position,team_jersey_number,shooting,passing,dribbling,defending,player_traits,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,power_shot_power,power_strength,power_long_shots,defending_standing_tackle,defending_sliding_tackle
A. Díaz,Alejandro Díaz,244616,19,7/29/99,Mexico,167,Lean,60,Club Tijuana,https://sofifa.com/player/244616/alejandro-diaz/20/159586,54,100000,2000,Medium/Low,RES,99,61,52,61,51,Not Provided,54,63,44,61,73,31,49,58,52
A. Díaz,Alexander Díaz,246108,19,1/22/00,Argentina,172,Normal,73,San Lorenzo de Almagro,https://sofifa.com/player/246108/alexander-diaz/20/159586,64,975000,3000,High/Medium,RES,33,60,47,65,23,Not Provided,56,61,34,68,59,61,55,18,21
A. Dønnum,Aron Dønnum,237936,21,4/20/98,Norway,179,Normal,73,Vålerenga Fotball,https://sofifa.com/player/237936/aron-donnum/20/159586,63,600000,1000,High/Medium,LM,26,55,55,66,42,Crowd Favourite,58,66,54,63,64,65,51,42,36
A. Eastham,Ashley Eastham,194678,28,3/22/91,England,191,Normal,90,Fleetwood Town,https://sofifa.com/player/194678/ashley-eastham/20/159586,63,350000,2000,Medium/Medium,SUB,5,23,42,44,60,Not Provided,49,38,43,45,35,81,22,64,69
A. Eisa,Abobaker Eisa,242402,23,1/5/96,Sudan,180,Lean,75,Scunthorpe United,https://sofifa.com/player/242402/abo-eisa/20/159586,62,425000,3000,High/Medium,SUB,30,57,52,66,28,"Selfish, Early Crosser",54,66,48,59,60,64,59,31,32
A. Ekdal,Albin Ekdal,181318,29,7/28/89,Sweden,186,Lean,82,Sampdoria,https://sofifa.com/player/181318/albin-ekdal/20/159586,76,7500000,34000,Medium/Medium,CM,6,65,75,73,71,"Power Free-Kick, Finesse Shot",80,74,78,79,72,71,69,72,64
A. El Bouchataoui,Achraf El Bouchataoui,244052,19,1/12/00,Netherlands,176,Normal,68,Feyenoord,https://sofifa.com/player/244052/achraf-el-bouchataoui/20/159586,64,825000,2000,Medium/Medium,RES,37,50,63,66,53,Leadership,68,64,70,68,56,61,60,54,50
A. El Ghazi,Anwar El Ghazi,216433,24,5/3/95,Netherlands,189,Normal,90,Aston Villa,https://sofifa.com/player/216433/anwar-el-ghazi/20/159586,74,7500000,43000,Medium/Low,LW,21,75,68,75,32,"Selfish, Crowd Favourite",71,78,54,77,83,75,77,28,15
A. El Hriti,Aniss El Hriti,240470,29,7/28/89,France,181,Normal,76,FC Chambly Oise,https://sofifa.com/player/240470/aniss-el-hriti/20/159586,60,170000,1000,High/Medium,SUB,3,35,51,56,59,Not Provided,57,57,48,50,45,63,35,61,59
A. El Kaoutari,Abdelhamid El Kaoutari,188145,29,3/17/90,Morocco,181,Normal,82,AS Nancy Lorraine,https://sofifa.com/player/188145/abdelhamid-el-kaoutari/20/159586,69,1000000,3000,Medium/High,SUB,3,32,55,55,67,Not Provided,60,52,56,59,59,71,38,70,69
A. El Messaoudi,Ahmed El Messaoudi,220968,23,8/3/95,Morocco,182,Stocky,83,FC Groningen,https://sofifa.com/player/220968/ahmed-el-messaoudi/20/159586,69,1400000,5000,Medium/Medium,SUB,18,66,61,71,65,Not Provided,71,74,68,69,78,80,72,62,64
A. El Said,Abdalla Mahmoud El Said Bekhit,197300,33,7/13/85,Egypt,175,Normal,75,Egypt,https://sofifa.com/player/197300/abdallah-el-said/20/159586,71,0,0,Medium/Medium,,null,70,68,73,40,Finesse Shot,72,71,69,74,78,56,73,37,27
A. El-Abd,Adam Mohamad El-Abd,156313,34,9/11/84,Egypt,180,Stocky,88,Wycombe Wanderers,https://sofifa.com/player/156313/adam-el-abd/20/159586,65,200000,2000,Low/Medium,RCB,6,39,44,47,63,Giant Throw-in,51,43,48,47,54,82,35,64,62
A. El-Shenawy,Ahmed Naser Mahmoud Al Shenawy,203766,28,5/14/91,Egypt,189,Normal,83,Egypt,https://sofifa.com/player/203766/ahmed-el-shenawy/20/159586,73,0,0,Medium/Medium,,null,0,0,0,0,Not Provided,26,13,35,21,53,72,10,10,9
A. El-Youssef,Adham El-Youssef,252124,18,5/24/01,Sweden,183,Lean,74,Helsingborgs IF,https://sofifa.com/player/252124/adham-el-youssef/20/159586,51,60000,1000,Medium/Medium,RES,38,46,45,52,24,Not Provided,47,50,42,51,51,51,40,24,29
A. Elis,Alberth Elis,236245,23,2/12/96,Honduras,180,Normal,77,Houston Dynamo,https://sofifa.com/player/236245/alberth-elis/20/159586,75,9500000,8000,High/Medium,RM,17,71,63,77,30,"Injury Prone, Early Crosser, Crowd Favourite",65,79,58,77,72,72,65,21,25
A. Elmohamady,Ahmed Eissa El Mohamady Abdel Fattah,191005,31,9/9/87,Egypt,183,Lean,78,Aston Villa,https://sofifa.com/player/191005/ahmed-elmohamady/20/159586,70,1300000,25000,High/Medium,RB,27,64,70,69,66,"Diver, Dives Into Tackles (CPU AI Only), Early Crosser",71,68,69,71,70,72,66,66,61
A. Elogo,Arsène Elogo,244158,24,4/22/95,Cameroon,179,Normal,72,Grenoble Foot 38,https://sofifa.com/player/244158/arsene-elogo/20/159586,63,500000,2000,Medium/Medium,SUB,22,59,52,70,32,Not Provided,56,71,45,68,67,65,57,27,32
A. Empereur,Alan Empereur,227705,25,3/10/94,Brazil,186,Normal,82,Hellas Verona,https://sofifa.com/player/227705/alan-empereur/20/159586,66,725000,4000,Medium/High,RES,33,28,48,48,67,Not Provided,52,48,48,53,43,68,27,68,69
A. Engin,Ahmet Engin,229019,22,8/9/96,Germany,180,Lean,70,MSV Duisburg,https://sofifa.com/player/229019/ahmet-engin/20/159586,68,1300000,2000,Medium/Medium,SUB,9,56,61,71,40,Crowd Favourite,65,71,48,69,59,52,46,37,21
A. Epureanu,Alexandru Epureanu,182133,32,9/27/86,Moldova,189,Normal,85,Medipol Basaksehir FK,https://sofifa.com/player/182133/alexandru-epureanu/20/159586,75,4300000,30000,Low/Medium,RES,6,53,55,55,77,Long Passer (CPU AI Only),71,56,62,61,64,87,41,80,74
A. Erceg,Ante Erceg,243946,29,12/12/89,Croatia,180,Normal,76,Brøndby IF,https://sofifa.com/player/243946/ante-erceg/20/159586,65,550000,6000,High/High,SUB,50,63,51,64,29,Not Provided,61,63,57,67,61,65,59,19,18
A. Eriksson,Adam Eriksson,220982,28,7/13/90,Sweden,186,Lean,82,Helsingborgs IF,https://sofifa.com/player/220982/adam-eriksson/20/159586,66,550000,1000,High/Medium,LB,11,49,67,63,59,Diver,66,63,65,65,73,72,51,60,61
A. Erlingmark,August Erlingmark,238270,21,4/22/98,Sweden,189,Normal,80,IFK Göteborg,https://sofifa.com/player/238270/august-erlingmark/20/159586,64,700000,1000,Low/High,RDM,19,54,57,59,66,Not Provided,65,56,59,64,66,73,57,64,59
A. Eschenko,Andrey Eshchenko,170923,35,2/9/84,Russia,176,Stocky,78,Spartak Moscow,https://sofifa.com/player/170923/andrey-eschenko/20/159586,73,1100000,1000,High/Medium,RB,38,57,68,69,71,Inflexible,69,62,70,73,56,67,50,74,74
A. Escoboza,Jesús Alonso Escoboza Lugo,204652,26,1/22/93,Mexico,171,Normal,70,Querétaro,https://sofifa.com/player/204652/alonso-escoboza/20/159586,64,550000,3000,High/Medium,LB,22,65,65,71,37,Early Crosser,66,70,60,69,70,67,68,45,39
A. Esiti,Anderson Esiti,220921,25,5/24/94,Nigeria,189,Stocky,84,PAOK,https://sofifa.com/player/220921/anderson-esiti/20/159586,73,4500000,1000,Low/Medium,LDM,24,46,56,54,74,Long Passer (CPU AI Only),69,53,64,61,71,88,51,76,71
A. Espino,Alfonso Espino,247131,27,1/5/92,Uruguay,172,Normal,71,Cádiz CF,https://sofifa.com/player/247131/alfonso-espino/20/159586,71,2400000,7000,High/Medium,SUB,22,59,62,64,68,Not Provided,64,64,56,59,73,70,55,72,69
A. Esswein,Alexander Esswein,189272,29,3/25/90,Germany,182,Normal,85,Hertha BSC,https://sofifa.com/player/189272/alexander-esswein/20/159586,70,1700000,15000,Medium/Medium,SUB,9,69,63,70,58,"Argues with Officials, Early Crosser",66,72,58,70,84,76,70,63,55
A. Estacio,Adrián Estacio Peña,243467,21,4/20/98,Colombia,177,Normal,71,Once Caldas,https://sofifa.com/player/243467/adrian-estacio/20/159586,57,200000,1000,Medium/Medium,RES,31,43,51,60,41,Not Provided,58,61,46,53,53,57,35,39,42
A. Estupiñán,Andrey Estupiñán,245214,24,7/5/94,Colombia,175,Normal,72,Deportivo Pasto,https://sofifa.com/player/245214/andrey-estupinan/20/159586,70,2300000,1000,Medium/Medium,LM,20,60,61,74,46,Not Provided,66,75,58,72,69,64,59,46,43
A. Falatah,Adnan Ibrahem Falatah,191432,35,10/20/83,Saudi Arabia,176,Normal,70,Abha Club,https://sofifa.com/player/191432/adnan-ibrahem-falatah/20/159586,63,100000,3000,High/Medium,LB,23,49,62,62,59,"Injury Prone, Skilled Dribbling",64,60,66,63,60,72,55,60,58
A. Falch,Aslak Falch,196983,27,5/25/92,Norway,185,Normal,81,Sarpsborg 08 FF,https://sofifa.com/player/196983/aslak-falch/20/159586,63,325000,1000,Medium/Medium,SUB,31,0,0,0,0,Not Provided,35,15,33,30,41,66,12,10,10
A. Fallatah,Abdulmohsen Fallatah,231735,25,6/14/94,Saudi Arabia,181,Lean,70,Al Ittihad,https://sofifa.com/player/231735/abdulmohsen-fallatah/20/159586,62,350000,6000,Low/Medium,SUB,21,30,37,42,61,Not Provided,55,34,35,45,31,69,19,65,62
A. Faltsetas,Alexander Faltsetas,198490,31,7/4/87,Sweden,181,Normal,79,BK Häcken,https://sofifa.com/player/198490/alexander-faltsetas/20/159586,66,550000,2000,Medium/High,RCM,6,54,65,59,66,Avoids Using Weaker Foot,68,53,60,66,67,75,54,67,70
A. Famewo,Akin Famewo,235267,20,11/9/98,England,187,Normal,66,Norwich City,https://sofifa.com/player/235267/akin-famewo/20/159586,55,130000,4000,Low/Medium,RES,53,21,32,37,52,Not Provided,41,24,37,42,27,70,20,57,55
A. Farid,Ahmed Farid,246034,19,8/4/99,Saudi Arabia,172,Lean,59,Ettifaq FC,https://sofifa.com/player/246034/ahmed-farid/20/159586,55,170000,2000,Medium/Low,RES,47,48,50,56,26,Not Provided,52,56,46,53,49,38,46,27,25
A. Farnerud,Alexander Farnerud,45874,35,5/1/84,Sweden,182,Lean,73,Helsingborgs IF,https://sofifa.com/player/45874/alexander-farnerud/20/159586,70,750000,2000,Medium/Medium,SUB,10,67,71,68,61,Crowd Favourite,72,67,70,71,78,60,73,59,55
A. Farrell,Andrew Farrell,212592,27,4/3/92,United States,180,Stocky,75,New England Revolution,https://sofifa.com/player/212592/andrew-farrell/20/159586,70,1800000,5000,Medium/Medium,RCB,2,48,60,66,68,Not Provided,62,65,59,65,61,77,51,70,69
A. Farías,Carlos Agustín Farías,224057,31,12/25/87,Argentina,178,Lean,73,CD Palestino,https://sofifa.com/player/224057/agustin-farias/20/159586,71,1800000,3000,Medium/Medium,CDM,25,52,60,61,69,Injury Prone,68,60,64,66,58,75,54,71,69
A. Favilli,Andrea Favilli,226468,22,5/17/97,Italy,191,Normal,78,Genoa,https://sofifa.com/player/226468/andrea-favilli/20/159586,68,1500000,7000,High/Medium,SUB,32,67,45,65,24,Not Provided,56,65,37,67,65,74,55,24,10
A. Federici,Adam Federici,164853,34,1/31/85,Australia,188,Stocky,90,Stoke City,https://sofifa.com/player/164853/adam-federici/20/159586,71,1000000,16000,Medium/Medium,SUB,32,0,0,0,0,Second Wind,28,19,25,27,58,70,14,11,18
A. Feick,Arne Feick,183565,31,4/1/88,Germany,179,Lean,79,1. FC Heidenheim 1846,https://sofifa.com/player/183565/arne-feick/20/159586,68,650000,6000,High/Medium,SUB,28,62,62,64,67,Inflexible,65,63,55,61,73,67,65,66,68
A. Fein,Adrian Fein,244280,20,3/18/99,Germany,187,Normal,78,Hamburger SV,https://sofifa.com/player/244280/adrian-fein/20/159586,70,3100000,6000,Medium/Medium,CDM,29,56,65,71,63,Not Provided,75,71,74,75,56,73,59,70,68
A. Ferati,Arianit Ferati,229354,21,9/7/97,Germany,168,Normal,71,SV Waldhof Mannheim,https://sofifa.com/player/229354/arianit-ferati/20/159586,63,575000,1000,Medium/Medium,SUB,10,53,61,70,38,Crowd Favourite,62,68,59,66,59,44,44,45,38
A. Fernández,Augusto Matías Fernández,176915,33,4/10/86,Argentina,177,Lean,71,Beijing Renhe FC,https://sofifa.com/player/176915/augusto-fernandez/20/159586,79,7500000,19000,Medium/Medium,LDM,8,70,76,78,71,"Power Free-Kick, Injury Prone",81,77,80,81,74,73,73,76,64
A. Ferrari,Alex Ferrari,219852,25,7/1/94,Italy,191,Lean,80,Sampdoria,https://sofifa.com/player/219852/alex-ferrari/20/159586,69,1200000,13000,Low/High,SUB,25,32,51,63,72,Not Provided,58,60,56,65,59,68,48,73,72
A. Figuera,Arquímedes Figuera,228116,29,10/6/89,Venezuela,170,Lean,68,Venezuela,https://sofifa.com/player/228116/arquimedes-figuera/20/159586,69,0,0,Medium/Medium,,null,38,61,61,69,Not Provided,68,59,70,60,61,59,49,66,67
A. Fink,Anton Fink,193537,31,7/31/87,Germany,174,Normal,74,Karlsruher SC,https://sofifa.com/player/193537/anton-fink/20/159586,69,950000,8000,Low/Low,SUB,30,67,61,70,22,"Argues with Officials, Finesse Shot",68,67,43,69,65,58,63,18,13
A. Finnbogason,Alfreð Finnbogason,195586,30,2/1/89,Iceland,184,Normal,80,FC Augsburg,https://sofifa.com/player/195586/alfredh-finnbogason/20/159586,78,10000000,30000,Medium/Medium,ST,27,81,62,74,33,"Power Free-Kick, Beat Offside Trap",71,75,67,75,78,78,77,32,34
A. Fiordaliso,Alessandro Fiordaliso,252825,20,3/20/99,Italy,184,Lean,75,Venezia FC,https://sofifa.com/player/252825/alessandro-fiordaliso/20/159586,56,140000,1000,Medium/Medium,RB,2,29,37,55,55,Not Provided,38,62,28,43,29,58,26,61,62
A. Fisher,Andy Fisher,234260,21,2/12/98,England,189,Normal,73,Blackburn Rovers,https://sofifa.com/player/234260/andy-fisher/20/159586,56,120000,2000,Medium/Medium,SUB,33,0,0,0,0,Not Provided,35,13,28,34,39,37,5,10,14
A. Fisher,Alex Fisher,223404,29,6/30/90,England,191,Normal,80,Exeter City,https://sofifa.com/player/223404/alex-fisher/20/159586,62,300000,3000,High/Low,SUB,18,58,46,60,23,Not Provided,55,58,41,61,61,75,50,21,16
A. Fitzpatrick,Aidan Fitzpatrick,251550,18,3/20/01,Scotland,177,Normal,72,Norwich City,https://sofifa.com/player/251550/aidan-fitzpatrick/20/159586,61,525000,3000,High/Medium,RES,43,56,56,64,32,Not Provided,57,65,51,64,68,59,47,36,33
A. Fletcher,Ashley Fletcher,213699,23,10/2/95,England,188,Lean,78,Middlesbrough,https://sofifa.com/player/213699/ashley-fletcher/20/159586,69,1500000,15000,Medium/Medium,LW,11,66,44,68,29,Not Provided,59,69,38,65,72,72,65,32,23
A. Fletcher,Alex Fletcher,237710,20,2/9/99,England,179,Lean,68,Plymouth Argyle,https://sofifa.com/player/237710/alex-fletcher/20/159586,57,170000,3000,Medium/Medium,SUB,29,56,44,57,20,Not Provided,45,53,34,54,57,56,52,18,11
A. Flint,Aden Flint,202408,29,7/11/89,England,197,Lean,83,Cardiff City,https://sofifa.com/player/202408/aden-flint/20/159586,73,3400000,22000,Medium/Medium,LCB,5,49,43,41,71,"Diver, Leadership, Long Passer (CPU AI Only)",57,33,51,56,63,90,26,70,69
A. Florenzi,Alessandro Florenzi,203551,28,3/11/91,Italy,173,Lean,67,Roma,https://sofifa.com/player/203551/alessandro-florenzi/20/159586,81,15000000,51000,High/Medium,RB,24,77,76,80,77,"Early Crosser, Giant Throw-in",77,78,75,79,82,63,82,79,78
A. Flores,Andrés Alexander Flores Mejía,217190,28,8/31/90,El Salvador,168,Lean,68,Portland Timbers,https://sofifa.com/player/217190/andres-flores/20/159586,66,650000,3000,High/High,SUB,14,60,63,65,57,"Leadership, Giant Throw-in",67,64,64,66,65,53,53,62,58
A. Fontana,Agustín Fontana,225915,23,6/11/96,Argentina,176,Normal,72,Club Atlético Banfield,https://sofifa.com/player/225915/agustin-fontana/20/159586,67,1100000,5000,High/Medium,SUB,9,65,51,67,31,Not Provided,65,64,38,71,64,67,58,20,12
A. Fontana,Anthony Fontana,240026,19,10/14/99,United States,173,Lean,68,Philadelphia Union,https://sofifa.com/player/240026/anthony-fontana/20/159586,63,500000,1000,High/Medium,RES,21,57,59,64,46,Not Provided,62,63,59,64,65,57,55,47,47
A. Foosnæs,Aleksander Foosnæs,241913,25,6/5/94,Norway,172,Normal,69,Ranheim Fotball,https://sofifa.com/player/241913/aleksander-foosnaes/20/159586,64,500000,1000,Medium/Medium,LB,24,42,53,62,60,Not Provided,56,62,53,58,59,45,49,64,63
A. Forde,Anthony Forde,205582,25,11/16/93,Republic of Ireland,180,Normal,82,Oxford United,https://sofifa.com/player/205582/anthony-forde/20/159586,66,800000,3000,Medium/Medium,SUB,14,60,63,67,32,Not Provided,64,66,62,64,62,64,64,31,35
A. Forshaw,Adam Forshaw,193910,27,10/8/91,England,174,Normal,71,Leeds United,https://sofifa.com/player/193910/adam-forshaw/20/159586,72,3500000,41000,Low/Medium,LCM,4,61,71,72,62,"Power Free-Kick, Finesse Shot",76,70,75,73,66,58,61,73,60
A. Fraczczak,Adam Fraczczak,209453,31,8/7/87,Poland,184,Normal,79,Pogon Szczecin,https://sofifa.com/player/209453/adam-fraczczak/20/159586,68,775000,3000,High/High,SUB,9,65,65,65,64,"Inflexible, Giant Throw-in",65,63,61,61,65,72,60,66,64
A. Francis,Abu Francis,251845,18,4/27/01,Ghana,184,Lean,72,FC Nordsjælland,https://sofifa.com/player/251845/abu-francis/20/159586,60,425000,1000,High/Medium,SUB,41,48,57,65,44,Not Provided,64,65,59,68,55,61,49,44,34
A. Franco,Alan Javier Franco,237604,22,10/11/96,Argentina,183,Normal,77,Independiente,https://sofifa.com/player/237604/alan-franco/20/159586,76,10000000,16000,Medium/High,RCB,2,34,50,57,76,"Diver, Long Passer (CPU AI Only)",67,51,45,67,50,77,28,80,71
A. Fransson,Alexander Fransson,213813,25,4/2/94,Sweden,180,Lean,74,IFK Norrköping,https://sofifa.com/player/213813/alexander-fransson/20/159586,72,3800000,7000,Medium/High,RCM,7,63,66,72,67,"Diver, Avoids Using Weaker Foot, Argues with Officials",71,69,71,73,70,71,71,68,65
A. Frizzell,Adam Frizzell,230163,21,2/21/98,Scotland,175,Normal,67,Kilmarnock,https://sofifa.com/player/230163/adam-frizzell/20/159586,62,575000,1000,Medium/Medium,SUB,21,50,57,67,38,Not Provided,65,66,59,63,56,45,39,37,46
A. Frías,Adonis Frías,251886,21,3/17/98,Argentina,185,Lean,75,Defensa y Justicia,https://sofifa.com/player/251886/adonis-frias/20/159586,62,375000,2000,Medium/Medium,SUB,34,31,38,42,63,Not Provided,45,38,43,43,44,72,27,66,61
A. Fuchs,Alexander Fuchs,239351,22,1/5/97,Germany,184,Lean,74,1. FC Nürnberg,https://sofifa.com/player/239351/alexander-fuchs/20/159586,67,1200000,5000,High/High,RES,35,50,63,69,56,Not Provided,69,68,64,70,53,64,52,54,52
A. Fuenmayor,Alejandro Enrique Fuenmayor Castillo,242722,22,8/29/96,Venezuela,184,Normal,80,Houston Dynamo,https://sofifa.com/player/242722/alejandro-fuenmayor/20/159586,66,900000,2000,Medium/Medium,SUB,2,25,39,39,66,Not Provided,47,27,55,45,31,71,19,67,68
A. Fukumori,Akito Fukumori,233670,26,12/16/92,Japan,183,Normal,75,Hokkaido Consadole Sapporo,https://sofifa.com/player/233670/akito-fukumori/20/159586,67,850000,2000,Medium/High,LCB,5,63,68,56,66,Not Provided,72,46,66,68,69,77,68,70,65
A. Fukuta,Akita Fukuta,232733,27,5/1/92,Japan,170,Lean,65,Sagan Tosu,https://sofifa.com/player/232733/akito-fukuta/20/159586,66,725000,2000,Medium/High,SUB,6,51,62,67,57,Not Provided,67,65,62,68,57,59,49,64,54
A. Fulgini,Angelo Fulgini,226789,22,8/20/96,France,183,Lean,71,Angers SCO,https://sofifa.com/player/226789/angelo-fulgini/20/159586,75,9500000,19000,Medium/Medium,RM,10,60,74,76,68,Not Provided,78,77,75,78,61,69,52,73,69
A. Fulignati,Andrea Fulignati,220720,24,10/31/94,Italy,188,Normal,88,Ascoli,https://sofifa.com/player/220720/andrea-fulignati/20/159586,68,950000,1000,Medium/Medium,SUB,33,0,0,0,0,Not Provided,32,11,30,22,49,60,18,19,18
A. Gabrielli,Ángelo Gabrielli,246730,26,9/23/92,Uruguay,179,Normal,77,Newell's Old Boys,https://sofifa.com/player/246730/angelo-gabrielli/20/159586,63,400000,4000,Medium/Medium,SUB,4,42,52,59,62,Not Provided,55,60,48,57,45,62,44,66,67
A. Gaich,Adolfo Julián Gaich,245437,20,2/26/99,Argentina,190,Normal,79,San Lorenzo de Almagro,https://sofifa.com/player/245437/adolfo-gaich/20/159586,66,1400000,5000,Medium/Medium,RES,38,65,50,60,22,Not Provided,62,58,33,67,59,79,57,15,21
A. Galabinov,Andrey Galabinov,203327,30,11/13/88,Bulgaria,190,Stocky,88,Spezia,https://sofifa.com/player/203327/andrey-galabinov/20/159586,68,875000,2000,Medium/Low,ST,9,70,57,59,21,Not Provided,64,60,50,65,70,90,69,15,11
A. Gallo,Antonino Gallo,244717,19,1/5/00,Italy,183,Lean,73,Lecce,https://sofifa.com/player/244717/antonino-gallo/20/159586,61,500000,2000,High/Medium,RES,25,50,61,61,56,"Dives Into Tackles (CPU AI Only), Early Crosser",64,61,59,60,59,55,50,60,60
A. Gamboa,Alexis Gamboa,243500,20,3/20/99,Costa Rica,191,Normal,85,Waasland-Beveren,https://sofifa.com/player/243500/alexis-gamboa/20/159586,61,400000,2000,Medium/Medium,RES,19,27,46,48,58,Not Provided,51,41,52,51,44,78,25,62,61
A. Garattoni,Alessandro Garattoni,244882,21,1/23/98,Italy,180,Lean,74,Crotone,https://sofifa.com/player/244882/alessandro-garattoni/20/159586,54,110000,1000,Medium/Medium,RES,36,27,39,47,52,Not Provided,37,49,33,35,39,53,21,54,57
A. Gasbarro,Andrea Gasbarro,229917,24,1/7/95,Italy,182,Normal,72,Livorno,https://sofifa.com/player/229917/andrea-gasbarro/20/159586,66,750000,1000,High/Medium,LM,6,31,48,62,62,Not Provided,59,64,41,60,42,75,23,65,64
A. Geipl,Andreas Geipl,213644,27,4/21/92,Germany,178,Lean,73,SSV Jahn Regensburg,https://sofifa.com/player/213644/andreas-geipl/20/159586,68,950000,5000,Low/High,LDM,8,52,60,63,67,"Leadership, Argues with Officials",66,61,59,62,71,66,53,71,72
A. Georgen,Alec Georgen,229194,20,9/17/98,France,172,Lean,67,Paris Saint-Germain,https://sofifa.com/player/229194/alec-georgen/20/159586,63,650000,8000,Medium/Medium,RES,35,49,55,66,61,Power Free-Kick,59,65,48,65,56,55,43,65,64
A. Georgiou,Anthony Georgiou,233426,22,2/24/97,Cyprus,179,Lean,73,Tottenham Hotspur,https://sofifa.com/player/233426/anthony-georgiou/20/159586,63,575000,11000,Medium/Medium,RES,42,45,60,68,60,Not Provided,60,69,51,67,45,52,42,65,59
A. Georgiou,Andronicos Georgiou,238390,19,10/28/99,Cyprus,180,Normal,70,Stevenage,https://sofifa.com/player/238390/andronicos-georgiou/20/159586,52,100000,1000,Medium/Medium,SUB,24,52,33,55,20,Not Provided,30,52,19,49,52,56,48,19,12
A. Gerbo,Alberto Gerbo,193268,29,11/9/89,Italy,177,Lean,70,Ascoli,https://sofifa.com/player/193268/alberto-gerbo/20/159586,65,525000,1000,Medium/High,SUB,25,51,59,68,50,Not Provided,58,68,62,62,64,54,60,58,59
A. Gerndt,Alexander Gerndt,181349,32,7/14/86,Sweden,185,Normal,80,FC Lugano,https://sofifa.com/player/181349/alexander-gerndt/20/159586,71,1900000,7000,Medium/Medium,RS,19,72,70,71,33,"Beat Offside Trap, Argues with Officials",72,71,64,72,74,71,74,35,32
A. Gero,Alhaji Gero,219672,25,10/10/93,Nigeria,189,Stocky,85,Helsingborgs IF,https://sofifa.com/player/219672/alhaji-gero/20/159586,63,475000,1000,Medium/Medium,ST,9,57,47,58,27,Not Provided,56,63,45,60,66,92,48,20,12
A. Gersbach,Alex Gersbach,224297,22,5/8/97,Australia,183,Normal,73,Aarhus GF,https://sofifa.com/player/224297/alex-gersbach/20/159586,65,775000,3000,Medium/Medium,SUB,2,36,55,62,61,Not Provided,57,59,50,60,36,71,34,63,61
A. Ghareeb,Abdulrahman Ghareeb,242117,22,3/31/97,Saudi Arabia,165,Lean,61,Al Ahli,https://sofifa.com/player/242117/abdulrahman-ghareeb/20/159586,62,500000,6000,Medium/Medium,SUB,29,59,52,67,18,Not Provided,56,65,48,62,64,62,57,15,10
A. Ghazal,Aly Ghazal,212469,27,2/1/92,Egypt,189,Normal,84,Egypt,https://sofifa.com/player/212469/aly-ghazal/20/159586,69,0,0,Low/High,,null,35,57,63,69,Not Provided,66,63,63,65,50,85,39,64,67
A. Gholizadeh,Ali Gholizadeh,243551,23,3/10/96,Iran,176,Normal,69,Sporting de Charleroi,https://sofifa.com/player/243551/ali-gholizadeh/20/159586,69,1400000,6000,Medium/Medium,SUB,8,57,64,70,41,Crowd Favourite,69,69,67,71,62,63,51,45,47
A. Giannou,Apostolos Giannou,206435,29,1/25/90,Australia,185,Normal,79,Australia,https://sofifa.com/player/206435/apostolos-giannou/20/159586,71,0,0,High/Medium,,null,71,55,66,28,Long Passer (CPU AI Only),63,66,61,68,72,79,66,22,19
A. Gignac,André-Pierre Gignac,153244,33,12/5/85,France,187,Stocky,91,Tigres U.A.N.L.,https://sofifa.com/player/153244/andre-pierre-gignac/20/159586,80,9500000,88000,Medium/Medium,ST,10,82,71,71,43,"Beat Offside Trap, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only), Giant Throw-in",71,73,68,72,84,91,79,41,23
A. Gigovic,Armin Gigovic,251617,17,4/6/02,Sweden,187,Lean,81,Helsingborgs IF,https://sofifa.com/player/251617/armin-gigovic/20/159586,53,100000,1000,Medium/Medium,SUB,37,44,49,56,28,Not Provided,52,55,43,60,51,60,42,27,25
A. Gilbey,Alex Gilbey,208302,24,12/9/94,England,183,Normal,73,Milton Keynes Dons,https://sofifa.com/player/208302/alex-gilbey/20/159586,67,1100000,4000,High/High,RCM,8,60,62,66,62,"Injury Prone, Argues with Officials, Finesse Shot",68,64,66,63,70,79,67,66,64
A. Gilchrist,Ally Gilchrist,222108,24,3/3/95,Scotland,188,Lean,74,Derry City,https://sofifa.com/player/222108/ally-gilchrist/20/159586,60,290000,1000,Medium/Medium,LCB,23,51,45,52,62,Not Provided,59,50,40,53,51,64,50,70,64
A. Gilliead,Alex Gilliead,217140,23,2/11/96,England,183,Lean,70,Scunthorpe United,https://sofifa.com/player/217140/alex-gilliead/20/159586,63,500000,4000,Medium/Medium,SUB,20,55,55,64,28,Not Provided,58,64,59,62,47,64,55,23,18
A. Ginti,Adit Ginti,251743,25,8/10/93,India,170,Normal,69,India,https://sofifa.com/player/251743/adit-ginti/20/159586,60,0,0,Medium/High,,null,44,52,61,56,Not Provided,51,58,45,61,54,43,38,59,58
A. Gnanduillet,Armand Gnanduillet,212910,27,2/13/92,Ivory Coast,193,Normal,93,Blackpool,https://sofifa.com/player/212910/armand-gnanduillet/20/159586,64,475000,3000,Medium/Medium,RS,21,64,44,58,29,Not Provided,48,59,40,57,75,90,65,31,37
